10,30,1894
2,0,14,65
7,0,786,845
1,0,846,881
5,0,1013,1086
9,0,1181,1246
0,0,1261,1288
6,0,1447,1460
3,0,1468,1549
8,0,1549,1581
4,0,1603,1677
4,1,219,283
7,1,331,364
5,1,364,439
2,1,497,530
8,1,592,602
0,1,602,630
3,1,726,764
6,1,851,904
9,1,927,976
1,1,1461,1516
6,2,116,199
1,2,276,299
2,2,539,611
3,2,764,771
9,2,855,927
0,2,1096,1102
4,2,1107,1146
5,2,1345,1397
8,2,1397,1487
7,2,1487,1508
3,3,0,82
1,3,82,105
2,3,105,198
4,3,324,402
6,3,432,520
7,3,563,616
9,3,616,644
8,3,694,759
5,3,836,857
0,3,1027,1088
4,4,283,324
6,4,324,336
9,4,336,348
3,4,649,726
1,4,765,835
7,4,902,926
0,4,1145,1226
5,4,1272,1345
2,4,1430,1492
8,4,1535,1541
4,5,93,191
3,5,462,490
6,5,520,562
9,5,699,771
0,5,771,786
8,5,795,810
5,5,866,960
2,5,960,993
1,5,1286,1337
7,5,1337,1436
0,6,181,213
8,6,213,235
9,6,235,331
4,6,521,536
6,6,1215,1293
3,6,1293,1324
5,6,1496,1503
1,6,1613,1707
2,6,1707,1730
7,6,1730,1816
7,7,0,93
2,7,256,353
3,7,557,600
5,7,634,707
0,7,707,731
8,7,971,1039
9,7,1039,1127
1,7,1337,1379
4,7,1419,1454
6,7,1460,1532
2,8,0,14
0,8,72,116
8,8,116,129
5,8,149,216
1,8,347,410
3,8,600,649
7,8,870,875
4,8,881,898
6,8,1362,1447
9,8,1455,1521
7,9,436,518
9,9,518,533
3,9,771,843
4,9,898,924
0,9,1088,1096
1,9,1096,1164
6,9,1293,1314
8,9,1314,1359
2,9,1492,1591
5,9,1595,1622
4,10,0,93
6,10,93,116
0,10,130,181
8,10,235,289
3,10,413,462
1,10,462,558
2,10,611,667
9,10,783,819
5,10,960,1013
7,10,1104,1156
8,11,37,97
0,11,116,130
4,11,409,479
9,11,644,699
1,11,699,722
5,11,753,836
3,11,843,881
2,11,881,905
7,11,926,963
6,11,1314,1362
0,12,353,415
7,12,887,902
8,12,902,971
9,12,976,999
1,12,1379,1461
6,12,1532,1558
4,12,1558,1603
5,12,1788,1821
3,12,1821,1833
2,12,1833,1870
6,13,0,72
1,13,72,81
7,13,187,202
5,13,232,260
8,13,602,694
9,13,771,783
0,13,786,845
3,13,1150,1214
4,13,1454,1541
2,13,1591,1664
0,14,0,50
1,14,50,64
7,14,616,706
5,14,707,753
3,14,881,952
4,14,967,1015
2,14,1180,1260
9,14,1260,1321
8,14,1359,1383
6,14,1729,1773
0,15,50,72
9,15,105,199
5,15,216,232
3,15,986,1059
2,15,1059,1113
8,15,1113,1167
4,15,1293,1339
1,15,1516,1613
6,15,1668,1729
7,15,1816,1891
9,16,0,55
3,16,490,557
6,16,774,851
4,16,851,881
7,16,881,887
1,16,887,919
8,16,1039,1086
5,16,1695,1788
2,16,1788,1794
0,16,1794,1834
1,17,0,30
3,17,154,252
7,17,252,331
0,17,331,353
6,17,353,432
2,17,438,445
8,17,759,795
9,17,819,855
5,17,857,866
4,17,1015,1107
8,18,0,37
7,18,364,436
2,18,445,497
4,18,536,567
1,18,919,1001
9,18,1127,1181
5,18,1397,1404
6,18,1558,1640
3,18,1640,1713
0,18,1734,1783
1,19,133,206
3,19,330,413
7,19,518,563
2,19,798,874
4,19,924,967
9,19,999,1028
0,19,1226,1261
5,19,1404,1496
8,19,1496,1535
6,19,1640,1668
2,20,198,256
0,20,256,282
1,20,299,347
8,20,387,439
7,20,706,740
6,20,1029,1125
5,20,1125,1195
4,20,1195,1293
3,20,1367,1447
9,20,1633,1727
1,21,206,276
8,21,439,462
5,21,462,488
4,21,507,521
6,21,1125,1215
2,21,1337,1430
3,21,1447,1468
0,21,1468,1510
7,21,1510,1528
9,21,1727,1763
4,22,191,219
6,22,698,774
7,22,845,870
0,22,870,887
1,22,1001,1085
2,22,1113,1180
8,22,1219,1306
3,22,1324,1367
9,22,1367,1455
5,22,1511,1595
7,23,202,232
3,23,1059,1150
8,23,1167,1219
4,23,1339,1419
0,23,1419,1440
5,23,1503,1511
9,23,1521,1558
2,23,1664,1679
6,23,1773,1785
1,23,1785,1877
1,24,105,133
4,24,402,409
7,24,740,786
6,24,904,996
2,24,1260,1337
3,24,1549,1564
9,24,1564,1633
8,24,1633,1687
0,24,1687,1734
5,24,1821,1860
9,25,55,105
5,25,105,149
2,25,353,417
8,25,554,592
4,25,592,685
6,25,996,1029
7,25,1029,1104
0,25,1104,1145
1,25,1262,1286
3,25,1286,1291
7,26,93,187
0,26,213,230
6,26,230,317
2,26,417,438
8,26,462,554
9,26,554,582
1,26,582,643
4,26,685,748
3,26,952,986
5,26,1195,1272
3,27,82,154
8,27,289,387
9,27,387,392
4,27,479,507
2,27,530,539
5,27,539,634
6,27,634,698
1,27,722,765
0,27,977,1027
7,27,1156,1252
0,28,415,500
2,28,667,752
8,28,810,849
1,28,1164,1262
7,28,1262,1286
3,28,1564,1635
5,28,1635,1695
4,28,1695,1750
9,28,1763,1785
6,28,1785,1820
3,29,252,330
6,29,562,611
2,29,752,798
1,29,835,846
0,29,887,977
5,29,1086,1106
9,29,1321,1355
7,29,1436,1442
4,29,1750,1820
8,29,1820,1894
