10,10,1030
0,0,76,105
1,0,442,520
2,0,520,529
3,0,529,565
4,0,565,614
5,0,614,625
6,0,625,687
7,0,697,753
8,0,797,841
9,0,971,992
0,1,210,253
2,1,322,412
4,1,480,555
9,1,555,566
3,1,591,660
1,1,660,688
6,1,719,765
5,1,765,811
7,1,814,886
8,1,930,960
1,2,237,328
0,2,332,417
3,2,417,456
2,2,529,603
8,2,603,693
5,2,693,703
7,2,753,765
6,2,765,854
9,2,854,899
4,2,925,958
1,3,85,166
2,3,166,261
0,3,261,332
4,3,332,431
6,3,431,440
8,3,454,506
7,3,506,591
3,3,712,810
9,3,810,832
5,3,832,875
2,4,115,129
0,4,204,210
1,4,420,442
5,4,448,509
3,4,565,591
4,4,614,683
8,4,693,714
7,4,765,814
9,4,899,971
6,4,971,1024
2,5,31,115
1,5,235,237
5,5,237,289
3,5,311,406
8,5,406,454
9,5,469,541
0,5,541,588
6,5,854,919
4,5,919,925
7,5,1005,1030
1,6,374,420
0,6,420,457
3,6,457,518
2,6,603,616
6,6,687,719
5,6,719,740
9,6,740,772
8,6,841,930
7,6,930,960
4,6,960,1015
2,7,0,31
0,7,105,191
1,7,328,374
5,7,374,448
4,7,448,480
6,7,480,568
8,7,568,587
9,7,587,635
7,7,886,922
3,7,922,1001
0,8,0,76
1,8,166,235
3,8,235,311
5,8,311,362
2,8,412,497
9,8,541,552
6,8,568,608
7,8,608,697
4,8,697,723
8,8,723,797
1,9,0,85
0,9,191,204
2,9,261,322
6,9,322,329
8,9,329,393
9,9,393,469
5,9,509,556
3,9,660,712
4,9,723,813
7,9,960,1005
