8,8,8703
0,0,4131,4587
1,0,4785,5439
2,0,5439,6291
3,0,6291,6436
4,0,6520,7152
5,0,7152,7577
6,0,7577,7791
7,0,7791,8445
0,1,654,1443
1,1,1443,1566
2,1,1566,1935
3,1,2053,2731
4,1,2916,3497
5,1,3497,3893
6,1,3893,4016
7,1,4613,5402
0,2,1443,2097
1,2,2097,2220
2,2,2220,2852
3,2,2852,3817
4,2,3817,4292
5,2,4292,4617
6,2,4617,5073
7,2,5402,6056
0,3,4587,4908
1,3,5439,5895
2,3,6291,6872
3,3,6872,7293
4,3,7293,7325
5,3,7577,7724
6,3,7791,8580
7,3,8580,8703
0,4,2886,3342
1,4,3342,4131
2,4,4131,4603
3,4,4603,4968
4,4,4968,5504
5,4,5504,6356
6,4,6356,7010
7,4,7010,7133
0,5,3342,4131
1,5,4131,4785
2,5,4785,5371
3,5,5371,6195
4,5,6195,6520
5,5,6520,6532
6,5,7010,7331
7,5,7331,7787
0,6,0,654
1,6,654,975
2,6,975,1295
3,6,1295,2053
4,6,2053,2916
5,6,2916,3368
6,6,3368,3824
7,6,3824,4613
0,7,2097,2886
1,7,2886,3033
2,7,3033,3153
3,7,3817,4456
4,7,4456,4477
5,7,4617,5480
6,7,5480,6269
7,7,6269,6923
